Player Name,Squad Name,Club Name,Session Date,Session Name,Session Type,Accelerations,Decelerations,No of Sprints,Sprint Distance,Total Distance,Max Speed,HSR
Michael Howard,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,41,20,2,21,2.33,15.78,32
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,64,69,6,85,3.31,16.34,168
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,52,34,4,304,3.01,24.36,339
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,61,56,4,70,2.89,16.18,95
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,56,38,2,30,2.75,17.35,41
Ramon Munoz Jr,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,41,40,2,37,3.15,21,144
Dylan Bapst,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,34,21,0,0,2.36,13.45,7
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,54,44,2,42,2.73,18.16,50
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,72,50,1,8,2.74,15.07,9
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/03/2025,USL 2,Practice,62,43,6,139,3.29,15.7,213