Player Name,Squad Name,Club Name,Session Date,Session Name,Drill Title,Session Type,Total Distance,Max Speed,High Speed Running,Sprint Distance,Accelerations,Decelerations
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Total,1.74,19.72,267,265,13,9
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,First Half,1.5,19.72,267,265,13,9
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Second Half,0.24,9.48,0,0,0,0
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Total,1.63,19.88,288,314,15,19
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,First Half,1.46,19.88,288,314,15,19
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Second Half,0.17,8.29,0,0,0,0
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Total,3.06,19.81,296,323,36,28
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,First Half,1.23,19.81,283,313,27,23
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Second Half,1.82,15.58,13,10,9,5
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Total,4.92,19.9,1035,844,53,63
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,First Half,1.35,19.9,270,270,8,14
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Second Half,3.57,18.77,764,574,45,49
Othmane Chagour,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Total,5.23,19.77,705,672,63,46
Othmane Chagour,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,First Half,1.78,19.77,471,494,19,10
Othmane Chagour,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Second Half,3.45,18.01,234,178,44,36
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Total,5.22,24.17,823,686,64,67
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,First Half,1.77,24.17,350,344,27,23
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Second Half,3.45,19.85,473,342,37,44
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Total,1.6,19.85,324,319,15,13
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,First Half,1.47,19.85,324,319,15,13
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/21/2025,v Tennesse SC,Gameday,Second Half,0.13,9.82,0,0,0,0